,0,1,id,word,degree
381,-0.66662216,1.362196,736,totalement,682
382,-0.18266097,2.6870284,1467,hauteur,1257
383,-0.34269953,-0.7333539,951,aller,622
384,0.75427705,3.237,2965,dessus,805
385,-0.9872518,2.496144,257,lorsque,524
386,-1.2852216,2.5604913,2633,supérieure,1003
387,0.37047952,3.2908733,1491,importante,779
388,-0.9035275,1.3049357,681,vraiment,745
389,-1.1276015,1.5940872,901,dit,563
390,0.3918492,0.13762061,136,réelle,738
391,-1.5546656,1.5790815,832,choix,593
392,0.6901818,3.1830454,1960,net,1069
393,-0.43456593,-0.07940849,601,dette,668
394,0.8450492,3.1857545,1470,delà,931
395,0.7865859,3.6523936,472,ensuite,608
396,0.4197776,3.4878616,1420,hausse,818
397,0.93730533,3.0377028,1047,puis,626
398,-1.1174115,-1.8139362,1130,multinationale,936
399,-0.4620295,1.897137,1306,sentiment,729
400,3.1795032,0.10612452,2083,cher,610
401,0.12364188,0.96906745,789,simplifier,1304
402,1.6849005,-0.59343904,557,fonctionnement,696
403,2.8371553,0.98327434,1940,propriétaire,694
404,1.4411736,1.2553035,73,prise,612
405,0.6598864,3.1504486,516,supérieur,875
406,0.2516529,1.2913404,1317,déclaration,762
407,0.7637166,3.1738715,1201,pourcentage,1086
408,0.7751882,2.6991842,741,uniquement,730
409,-2.2457316,-1.2207432,3685,fraudeur,814
410,0.20047057,-1.7217836,60,etre,631
411,2.4225953,2.585743,216,familiale,1029
412,0.3207789,0.45397854,532,projet,449
413,-1.2846578,1.2949661,3736,mal,489
414,1.1416072,2.0652559,1810,obligatoire,690
415,1.2302805,-2.356768,563,député,894
416,1.2964373,2.5331016,118,assiette,1061
417,-1.1373385,1.3835943,2811,t,571
418,2.2884846,0.24364032,632,cadre,524
419,-0.28925744,-2.6238272,12,patron,760
420,-1.3197155,1.8442245,2980,quoi,608
421,0.78140783,0.94831675,166,heure,605
422,-2.2454846,1.4104999,171,devant,762
423,1.754988,0.013869085,544,secteur,506
424,0.31819195,1.9445876,1804,revenir,648
425,-1.7123153,2.2275455,1095,pendant,500
426,-0.77827215,1.0054477,1330,telle,484
427,-2.125887,2.1614323,2689,moi,597
428,1.3278381,-1.1254646,2566,poste,532
429,-1.3436817,2.8059962,1204,gagne,1096
430,0.68351305,2.9660428,638,dernier,491
